Id,Price
4567,158062.72048752577
5925,119856.82969736868
960,138529.11663688492
3848,150852.9513800963
746,175221.19904140045
868,382226.44486998935
672,127557.44957805796
2471,208103.42667924173
4510,123445.320361396
8354,230064.46274208356
6393,185557.5256993111
13270,230872.57032822323
5250,289961.13931045675
16751,168258.84075996582
11404,127154.09382166638
10588,332233.81675291574
14925,193538.70088770962
6791,225520.28975513333
16097,209374.03979207002
16428,342321.81230213086
6945,345309.96364999085
3190,189786.89670934397
15709,473799.54644325055
13155,180534.9977656285
7675,205360.09902454622
14686,225032.92774913643
609,168076.1419973734
11155,121201.93068947046
10869,203419.0495818704
15742,182776.3103199519
9245,190075.54609681296
3340,182233.25012677014
2359,270060.41012323037
8070,214062.31128712822
13707,126502.54278443522
16079,267937.83800355595
15937,261836.3400455539
14090,179028.30050774114
9008,216778.65543315894
16384,189701.9384118888
11657,254985.20121883307
13151,142238.71601489888
8990,197533.69171735007
11857,191256.42421621762
1565,160933.23602990023
8174,119456.5233679328
9247,244198.82914050185
10478,216382.4247248259
15509,150568.96639932226
8306,196080.2970903544
6642,189114.15527662038
7472,209387.88761669915
15989,132825.7013407959
13682,136960.2802269189
163,327083.52658916335
7076,172963.12888256073
7478,311887.03644893726
3029,189693.97592438202
1814,143636.79571771354
10057,145858.6811705262
15100,197160.13673943572
12694,241502.17638347432
6291,175456.97891409867
12603,198147.28759230912
3218,244337.74418288664
13456,131268.45475683582
10170,239485.45707847702
4530,147287.18430555388
13329,160806.20219116393
4820,140970.938680102
10896,171534.41827367555
13416,114894.72827972597
2701,223721.27323397473
11265,320467.44752592663
9189,268925.57910870115
1858,177604.49566613612
14536,235550.99045241266
6199,296211.59826216975
14730,150548.9323171045
7510,274515.69965122
15505,169816.19942733817
7446,194000.93239975744
14016,184116.36767866067
14113,100757.85821322759
8721,295102.36851687054
6193,330524.26484220976
5717,182517.58329868142
5427,281171.5902046622
9520,554171.0865572774
6869,101116.57831534624
1658,158223.70445491222
6639,213732.067155974
6283,191262.33837937107
6257,125884.7148032778
15235,192253.92269662398
902,209392.20502052072
8932,208083.0971486338
16469,345583.8557625612
2825,272716.0094442132
6450,440478.1232003295
11366,182153.9510297351
3801,345367.9940594517
11385,223853.20838214288
1079,203640.9965939427
3202,234068.03808592915
676,208298.6472808398
6185,275873.08445561444
7730,167541.05332558972
2573,181137.5902683179
10978,207126.42640310538
10962,253027.4630293887
8870,207885.597675839
8496,188674.73746047955
5517,173851.02580623198
927,189838.3605689891
13675,209079.55594214343
1499,230386.89138606124
15536,326086.68769593124
8602,328796.15215429064
12137,413463.94893274264
9865,243712.12836988512
16353,280769.11611527944
15908,229538.71369192883
3944,180409.1830856525
10359,207408.55080090533
15158,217344.81476381372
3259,280015.41764857713
7220,320432.76258053945
13843,204360.90461049628
16736,178098.3160132151
702,243036.0680535837
16401,94903.70670298148
12134,179919.80264896553
6918,204881.11006129443
11792,171964.57891772373
3798,125694.93279210154
10395,124847.89346178508
11099,117754.16179229104
7090,202173.78952138193
11260,203032.1766963718
9647,201731.63394027532
2903,345195.79060871503
2071,181483.97285261747
8604,202508.40343489015
9346,197186.9309263172
3945,213487.0014773055
3420,142777.182985684
10842,128878.34148182638
725,163779.3262046347
13931,210846.06577181586
16330,214878.97995845613
9066,441895.7447686463
3326,322470.4856523147
1556,274909.3825849635
6579,134107.23646942823
13877,153025.8939842939
9857,311711.8386363959
7302,258834.70225541005
5684,185663.97747738066
6513,224183.57986589853
11342,120709.5105398523
16561,241390.06069783258
6885,178309.2251648711
9308,184754.54429015907
2559,165954.75760547668
6648,190884.37908009868
15260,171750.72939550082
5113,186844.55376383266
16492,204321.03755466535
12034,286839.75984601874
7248,194002.96123439344
2171,211314.4158004709
10594,155464.3274928887
13241,191821.40942096413
7032,141032.65302323326
4884,146255.42128950174
903,241466.13100550394
162,144231.40801293665
6566,224971.50347087544
8249,113968.77310187396
13106,186200.57254671998
256,121049.56149334685
7976,166263.1960948622
8575,176133.9938464415
7591,299998.4252264023
3204,255569.21437412687
15804,195126.09904395413
1525,268176.7064659974
9038,202283.44261170627
13628,189744.15765002347
10016,205067.91898692976
10208,241814.96948428772
2008,192030.13220203557
13029,189972.81582366608
5099,127998.08295407266
9923,272144.0738206899
9461,141149.21366479457
11086,155107.42522656484
15057,226952.71494392757
10689,174754.92099101414
2053,246519.59330364267
16630,166761.85614484898
4985,166813.91883147781
13881,243252.9156011229
13225,197513.4950875422
5779,65496.93123162668
10262,187995.12946884998
10762,227463.65678700336
9513,192119.1026041534
11128,151888.2740386953
2074,307537.3218700982
933,200752.04932623863
2780,199661.28811250677
6594,117229.57856237689
15394,366140.8808030383
14863,144017.71179057704
